Fecha,Audiencia,Campaña,Ventas,Alcance,Importe gastado (USD),Impresiones,Clics en el enlace,Clics (todos)
4/28/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Easter 24,,291,1.69,331,1,4
4/28/2024,1. Emergency donors,Donation TD - Gaza - Easter 24,,8065,67.82,8656,29,329
4/28/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,3,11567,50.38,12641,21,360
4/29/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Easter 24,,3,0,3,,0
4/29/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Easter 24,,6,0.01,6,,0
4/29/2024,1. Emergency donors,Donation TD - Gaza - Easter 24,,189,1.17,189,1,9
4/29/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,12989,50.16,14192,11,373
4/29/2024,9. Meta donor lookalikes 5%,Donation TD - Gaza - Easter 24,,14107,76.3,15897,37,550
4/30/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,2,12058,50.16,13020,18,315
4/30/2024,9. Meta donor lookalikes 5%,Donation TD - Gaza - Easter 24,,12273,69.16,15521,36,417
5/1/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,13455,51.26,14055,19,369
5/1/2024,9. Meta donor lookalikes 5%,Donation TD - Gaza - Easter 24,1,13702,70,17356,56,529
5/2/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,11490,50.1,11913,26,302
5/2/2024,9. Meta donor lookalikes 5%,Donation TD - Gaza - Easter 24,3,16023,68.9,20281,64,498
5/3/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,3,13940,49.52,14521,26,515
5/3/2024,9. Meta donor lookalikes 5%,Donation TD - Gaza - Easter 24,1,16120,68.21,20074,56,559
5/4/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,16663,48.42,17947,32,696
5/4/2024,9. Meta donor lookalikes 5%,Donation TD - Gaza - Easter 24,1,20053,66.09,24774,76,751
5/5/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,2,21279,51.02,22847,35,859
5/5/2024,9. Meta donor lookalikes 5%,Donation TD - Gaza - Easter 24,1,30764,70.37,37167,89,1088
