Fecha,Audiencia,Campaña,Ventas,Alcance,Importe gastado (USD),Impresiones,Clics en el enlace,Clics (todos)
2/22/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,9745,60.98,12877,24,328
2/22/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,22759,47.19,24622,36,331
2/22/2024,"2. HI, HE",Donation TD - Gaza - Oct 23,,34354,94.17,39483,53,1102
2/23/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,3,12746,37.67,15413,26,499
2/23/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,3,13212,82.02,18069,26,318
2/23/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,,23348,48.89,25180,29,376
2/23/2024,"2. HI, HE",Donation TD - Gaza - Oct 23,,24272,62.81,27093,41,845
2/24/2024,"2. HI, HE",Donation TD - Gaza - Oct 23,,16313,46.46,17708,33,489
2/24/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,16274,94.64,20899,23,337
2/24/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,18697,50.29,20490,27,345
2/24/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,1,19917,66.64,23463,37,635
2/25/2024,"2. HI, HE",Donation TD - Gaza - Oct 23,,20316,54.11,22357,30,582
2/25/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,20337,53.51,22682,41,343
2/25/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,,20077,106.79,25247,28,439
2/25/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,1,33746,107.25,41628,57,1169
2/26/2024,"4. HI, HE, Middle East",Donation TD - Gaza - Oct 23,,91,0.3,91,2,5
2/26/2024,"2. HI, HE",Donation TD - Gaza - Oct 23,,7428,16.73,7804,6,169
2/26/2024,9. Meta donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,7852,31.56,8506,7,124
2/26/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,1,20405,51.75,22494,29,295
2/26/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,1,20692,69.24,24484,28,664
2/27/2024,5. Meta and Web Retargeting,Donation TD - Gaza - Oct 23,2,12690,49.47,15816,20,414
2/27/2024,3. Emergency donor lookalikes 10%,Donation TD - Gaza - Oct 23,,20603,49.34,23691,39,350
