Week,Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Campaign type,Interactions,Interaction rate,Avg. cost,Cost,CTR,Conversions,Clicks,Impr.,All video ad seq. impr.,Engagements,Engagement rate,Invalid clicks,Invalid click rate,Invalid Interactions,Invalid Interaction rate,Avg. CPC,Avg. CPE,Avg. CPM,Avg. CPV,Avg. target CPA optimization,Avg. target CPA,Avg. target ROAS optimization,Avg. target ROAS,Avg. target cost per in-app action,Views,View rate (In-stream),View rate (In-feed),View rate (Shorts),Watch time,Avg. watch time / impr.,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,Impr. (co-viewed),Impr. (Abs. Top) %,Impr. (Top) %,Number of eligible ads,Number of disapproved ads,Number of eligible keywords,Number of disapproved keywords,Number of eligible ad groups,Number of eligible responsive search ads,Ad strength details,Number of eligible sitelinks (legacy),Number of eligible sitelinks (upgraded),Number of eligible images (legacy),Number of eligible images (upgraded),Results,Results value,Download,Purchase,Signup,Viewable impr.,Non-viewable impr.,Measurable impr.,Non-measurable impr.,Measurable cost,Measurable rate,Avg. viewable CPM,Viewable CTR,Viewable impr. distrib.,Non-viewable impr. distrib.,Non-measurable impr. distrib.,Viewable rate,Cost / conv.,Conv. rate,Conv. value,Conv. value / cost,Conv. value / click,Value / conv.,Value adjustment,New customer lifetime value,Conversions (by conv. time),Conv. value (by conv. time),Value / conv. (by conv. time),All conv.,Cost / all conv.,All conv. rate,All conv. value,All conv. value / cost,All conv. value / click,Value / all conv.,All value adjustment,All new customer lifetime value,All conv. (by conv. time),All conv. value (by conv. time),Value / all conv. (by conv. time),Orders,Revenue,Avg. order value,Units sold,Avg. cart size,Gross profit,Gross profit margin,Cost of goods sold,Lead revenue,Lead units sold,Lead gross profit,Lead cost of goods sold,Cross-sell revenue,Cross-sell units sold,Cross-sell gross profit,Cross-sell cost of goods sold,Cross-device conv.,Cross-device conv. value,Cross-device conv. (by conv. time),Cross-device conv. value (by conv. time),View-through conv.,New customers,Currency code,Recommended budget,Est. add. interactions/wk (rec. budget),Est. add. cost/wk (rec. budget),Conversions (current model),Cost / conv. (current model),Conv. rate (current model),Conv. value (current model),Value / conv. (current model),Conv. value / click (current model),Conv. value / cost (current model),"Conversions (current model, by conv. time)","Conv. value (current model, by conv. time)","Value / conv. (current model, by conv. time)",Campaign ID,Campaign subtype,Bid strategy,Bid strategy type,Optimization score,Target CPA,Target ROAS,Location Goal for Target IS,Target Impression Share,Max CPC Bid Limit for Target IS,Label,Campaign group,Account optimization headroom,Conversion goals,Search impr. share,Search top IS,Search abs. top IS,Search lost IS (rank),Search lost top IS (rank),Search lost abs. top IS (rank),Search lost IS (budget),Search lost top IS (budget),Search lost abs. top IS (budget),Search exact match IS,Display impr. share,Display lost IS (rank),Display lost IS (budget),Click share,Bounce rate (UA),Pages / session (UA),Avg. session duration (seconds) (UA),% New sessions (UA),% Engaged sessions (GA4),Events / session (GA4),Avg. engagement duration per session (seconds) (GA4),Phone calls,Phone impr.,PTR,Chats,Message impr.,Chat rate,Earned likes,Earned playlist additions,Earned shares,Earned subscribers,Earned views,All changes,Budget changes,Bid changes,Keyword changes,Status changes,Targeting changes,Ad changes,Network changes,Avg. impr. freq. / user,Unique users,Avg. impr. freq. / user (7 days),Avg. impr. freq. / user (30 days),1+,2+,3+,4+,5+,10+
4/22/2024,Enabled,UNICEF | MS | DRTV | Brand | Conversions, --,USD,160,Daily,Eligible (Limited),limited by budget; unknown,Search,"1,027",13.17%,1.68,1725.65,13.17%,9.96,"1,027","7,799",0,0, --,72,6.55%,72,6.55%,1.68,0,221.27,0, --,176.19, --, --, --,0, --, --, --, --, --, --, --, --, --,"7,799",73.38%,77.32%,4,0,54,27,2,4,"Pending: 0
No Ads: 0
Poor: 0
Average: 2
Good: 0
Excellent: 2",0,5,0,5,Sign-up: 9.96,Sign-up: 149.44,0,0,9.96,0,0,0,"7,799",0,0.00%,0, --,0.00%,0.00%,100.00%, --,173.22,0.97%,149.44,0.09,0.15,15,0,0,9.96,149.44,15,10.96,157.42,1.07%,669.44,0.39,0.65,61.07,0,9.9,10.96,669.44,61.07,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD,420,691,1178.62,9.96,173.22,0.97%,149.44,15,0.15,0.09,9.96,149.44,15,20498015995,Standard, --,Maximize Conversions (Target CPA),100,100, --, --, --, --, --, --,0.00%,[SIGNUP/WEBSITE],16.66%,12.92%,12.26%,74.11%,77.79%,78.45%,9.23%,9.29%,9.29%,31.32%, --, --, --,19.29%, --,0,0, --,31.69%,3.94,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
4/1/2024,Enabled,UNICEF | MS | DRTV | Brand | Conversions, --,USD,160,Daily,Eligible (Limited),limited by budget; unknown,Search,644,19.09%,2.05,1321.72,19.09%,14.5,644,"3,374",0,0, --,31,4.59%,31,4.59%,2.05,0,391.74,0, --,176.74, --, --, --,0, --, --, --, --, --, --, --, --, --,"3,374",87.67%,88.24%,4,0,54,27,2,4,"Pending: 0
No Ads: 0
Poor: 0
Average: 2
Good: 0
Excellent: 2",0,5,0,5,Sign-up: 14.50,Sign-up: 217.46,0,0,14.5,0,0,0,"3,374",0,0.00%,0, --,0.00%,0.00%,100.00%, --,91.17,2.25%,217.46,0.16,0.34,15,0,0,15.5,232.47,15,22.5,58.75,3.49%,"3,617.46",2.74,5.62,160.79,0,79.2,22.5,"3,332.47",148.13,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD,420,691,1178.62,14.5,91.17,2.25%,217.46,15,0.34,0.16,15.5,232.47,15,20498015995,Standard, --,Maximize Conversions (Target CPA),100,100, --, --, --, --, --, --,0.00%,[SIGNUP/WEBSITE],43.88%,38.75%,38.50%,20.42%,24.73%,24.98%,35.71%,36.52%,36.52%,55.36%, --, --, --,44.37%, --,0,0, --,36.81%,4.15,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2/26/2024,Enabled,UNICEF | MS | DRTV | Brand | Conversions, --,USD,160,Daily,Eligible (Limited),limited by budget; unknown,Search,830,19.60%,1.33,1103.77,19.60%,11.88,830,"4,235",0,0, --,42,4.82%,42,4.82%,1.33,0,260.63,0, --,177.83, --, --, --,0, --, --, --, --, --, --, --, --, --,"4,235",87.79%,88.78%,4,0,54,27,2,4,"Pending: 0
No Ads: 0
Poor: 0
Average: 2
Good: 0
Excellent: 2",0,5,0,5,Sign-up: 11.88,Sign-up: 178.22,0,0,11.88,0,0,0,"4,235",0,0.00%,0, --,0.00%,0.00%,100.00%, --,92.9,1.43%,178.22,0.16,0.21,15,0,0,12.73,190.98,15,24.89,44.34,3.00%,191.23,0.17,0.23,7.68,0,128.81,24.77,203.01,8.2,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD,420,691,1178.62,11.88,92.9,1.43%,178.22,15,0.21,0.16,12.73,190.98,15,20498015995,Standard, --,Maximize Conversions (Target CPA),100,100, --, --, --, --, --, --,0.00%,[SIGNUP/WEBSITE],27.38%,24.36%,24.09%,33.46%,35.61%,35.88%,39.16%,40.03%,40.03%,33.11%, --, --, --,28.14%, --,0,0, --,62.52%,6.29,46.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3/25/2024,Enabled,UNICEF | MS | DRTV | Brand | Conversions, --,USD,160,Daily,Eligible (Limited),limited by budget; unknown,Search,591,17.10%,1.8,1061.93,17.10%,8.91,591,"3,456",0,0, --,17,2.80%,17,2.80%,1.8,0,307.27,0, --,177.57, --, --, --,0, --, --, --, --, --, --, --, --, --,"3,456",87.88%,88.83%,4,0,54,27,2,4,"Pending: 0
No Ads: 0
Poor: 0
Average: 2
Good: 0
Excellent: 2",0,5,0,5,Sign-up: 8.91,Sign-up: 133.58,0,0,8.91,0,0,0,"3,456",0,0.00%,0, --,0.00%,0.00%,100.00%, --,119.24,1.51%,133.58,0.13,0.23,15,0,0,11.91,178.62,15,9.91,107.21,1.68%,583.59,0.55,0.99,58.92,0,9.9,12.91,628.62,48.7,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,1,15,0,0,USD,420,691,1178.62,8.91,119.24,1.51%,133.58,15,0.23,0.13,11.91,178.62,15,20498015995,Standard, --,Maximize Conversions (Target CPA),100,100, --, --, --, --, --, --,0.00%,[SIGNUP/WEBSITE],63.01%,56.06%,55.45%,36.99%,43.94%,44.55%,0.00%,0.00%,0.00%,75.62%, --, --, --,75.57%, --,0,0, --,30.90%,3.91,6.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2/26/2024,Enabled,UNICEF | MS | DRTV  | Brand | Impr Share, --,USD,50,Daily,Eligible,unknown,Search,9,32.14%,1.46,13.14,32.14%,0,9,28,0,0, --,0,0.00%,0,0.00%,1.46,0,469.29,0, --, --, --, --, --,0, --, --, --, --, --, --, --, --, --,28,100.00%,100.00%,1,0,3,62,1,1,"Pending: 0
No Ads: 0
Poor: 0
Average: 1
Good: 2
Excellent: 1",0,5,0,9,0,0,0,0,0,0,0,0,28,0,0.00%,0, --,0.00%,0.00%,100.00%, --,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.02,0.02,1,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD, --, --, --,0,0,0.00%,0,0,0,0,0,0,0,20322758065,Standard, --,Target Impression Share,100, --, --,Top of results page,100%,13.24, --, --,0.00%,[SIGNUP/WEBSITE],67.57%,67.57%,67.57%,29.73%,29.73%,29.73%,2.70%,2.70%,2.70%,100.00%, --, --, --,93.55%, --,0,0, --,71.43%,8.57,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2/5/2024,Enabled,UNICEF | MS | DRTV  | Brand | Impr Share, --,USD,50,Daily,Eligible,unknown,Search,13,41.94%,0.69,8.96,41.94%,0,13,31,0,0, --,2,13.33%,2,13.33%,0.69,0,289.03,0, --, --, --, --, --,0, --, --, --, --, --, --, --, --, --,31,100.00%,100.00%,1,0,3,62,1,1,"Pending: 0
No Ads: 0
Poor: 0
Average: 1
Good: 2
Excellent: 1",0,5,0,9,Sign-up: 0.00,Sign-up: 0.00,0,0,0,0,0,0,31,0,0.00%,0, --,0.00%,0.00%,100.00%, --,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD, --, --, --,0,0,0.00%,0,0,0,0,0,0,0,20322758065,Standard, --,Target Impression Share,100, --, --,Top of results page,100%,13.24, --, --,0.00%,[SIGNUP/WEBSITE],79.49%,79.49%,79.49%,20.51%,20.51%,20.51%,0.00%,0.00%,0.00%,88.24%, --, --, --,86.54%, --,0,0, --,75.00%,8.63,93.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3/4/2024,Enabled,UNICEF | MS | DRTV  | Brand | Impr Share, --,USD,50,Daily,Eligible,unknown,Search,10,27.78%,1.21,12.11,27.78%,0,10,36,0,0, --,0,0.00%,0,0.00%,1.21,0,336.39,0, --, --, --, --, --,0, --, --, --, --, --, --, --, --, --,36,94.44%,97.22%,1,0,3,62,1,1,"Pending: 0
No Ads: 0
Poor: 0
Average: 1
Good: 2
Excellent: 1",0,5,0,9,0,0,0,0,0,0,0,0,36,0,0.00%,0, --,0.00%,0.00%,100.00%, --,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD, --, --, --,0,0,0.00%,0,0,0,0,0,0,0,20322758065,Standard, --,Target Impression Share,100, --, --,Top of results page,100%,13.24, --, --,0.00%,[SIGNUP/WEBSITE],76.60%,74.47%,72.34%,23.40%,25.53%,27.66%,0.00%,0.00%,0.00%,88.24%, --, --, --,87.15%, --,0,0, --,75.00%,6.5,34.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
4/29/2024,Enabled,UNICEF | MS | DRTV  | Brand | Impr Share, --,USD,50,Daily,Eligible,unknown,Search,2,16.67%,4.02,8.03,16.67%,0,2,12,0,0, --,0,0.00%,0,0.00%,4.02,0,669.17,0, --, --, --, --, --,0, --, --, --, --, --, --, --, --, --,12,100.00%,100.00%,1,0,3,62,1,1,"Pending: 0
No Ads: 0
Poor: 0
Average: 1
Good: 2
Excellent: 1",0,5,0,9,0,0,0,0,0,0,0,0,12,0,0.00%,0, --,0.00%,0.00%,100.00%, --,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD, --, --, --,0,0,0.00%,0,0,0,0,0,0,0,20322758065,Standard, --,Target Impression Share,100, --, --,Top of results page,100%,13.24, --, --,0.00%,[SIGNUP/WEBSITE],100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%, --, --, --, --, --,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
4/15/2024,Enabled,UNICEF | MS | DRTV  | Brand | Impr Share, --,USD,50,Daily,Eligible,unknown,Search,27,40.91%,1.98,53.59,40.91%,2,27,66,0,0, --,0,0.00%,0,0.00%,1.98,0,811.97,0, --, --, --, --, --,0, --, --, --, --, --, --, --, --, --,66,93.85%,96.92%,1,0,3,62,1,1,"Pending: 0
No Ads: 0
Poor: 0
Average: 1
Good: 2
Excellent: 1",0,5,0,9,Sign-up: 2.00,Sign-up: 30.00,0,0,2,0,0,0,66,0,0.00%,0, --,0.00%,0.00%,100.00%, --,26.8,7.41%,30,0.56,1.11,15,0,0,2,30,15,3,17.86,11.11%,780,14.55,28.89,260,0,0,3,780,260,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD, --, --, --,2,26.8,7.41%,30,15,1.11,0.56,2,30,15,20322758065,Standard, --,Target Impression Share,100, --, --,Top of results page,100%,13.24, --, --,0.00%,[SIGNUP/WEBSITE],83.33%,80.77%,78.21%,16.67%,19.23%,21.79%,0.00%,0.00%,0.00%,97.22%, --, --, --,93.14%, --,0,0, --,45.45%,6.55,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3/11/2024,Enabled,UNICEF | MS | DRTV  | Brand | Impr Share, --,USD,50,Daily,Eligible,unknown,Search,14,58.33%,1.27,17.82,58.33%,0,14,24,0,0, --,0,0.00%,0,0.00%,1.27,0,742.5,0, --, --, --, --, --,0, --, --, --, --, --, --, --, --, --,24,83.33%,87.50%,1,0,3,62,1,1,"Pending: 0
No Ads: 0
Poor: 0
Average: 1
Good: 2
Excellent: 1",0,5,0,9,0,0,0,0,0,0,0,0,24,0,0.00%,0, --,0.00%,0.00%,100.00%, --,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD, --, --, --,0,0,0.00%,0,0,0,0,0,0,0,20322758065,Standard, --,Target Impression Share,100, --, --,Top of results page,100%,13.24, --, --,0.00%,[SIGNUP/WEBSITE],53.33%,46.67%,44.44%,46.67%,53.33%,55.56%,0.00%,0.00%,0.00%,88.89%, --, --, --,81.70%, --,0,0, --,73.33%,6.27,32.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2/12/2024,Enabled,UNICEF | MS | DRTV  | Brand | Impr Share, --,USD,50,Daily,Eligible,unknown,Search,16,38.10%,1.36,21.81,38.10%,0,16,42,0,0, --,1,5.88%,1,5.88%,1.36,0,519.29,0, --, --, --, --, --,0, --, --, --, --, --, --, --, --, --,42,95.24%,95.24%,1,0,3,62,1,1,"Pending: 0
No Ads: 0
Poor: 0
Average: 1
Good: 2
Excellent: 1",0,5,0,9,0,0,0,0,0,0,0,0,42,0,0.00%,0, --,0.00%,0.00%,100.00%, --,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD, --, --, --,0,0,0.00%,0,0,0,0,0,0,0,20322758065,Standard, --,Target Impression Share,100, --, --,Top of results page,100%,13.24, --, --,0.00%,[SIGNUP/WEBSITE],68.85%,65.57%,65.57%,31.15%,34.43%,34.43%,0.00%,0.00%,0.00%,95.65%, --, --, --,92.08%, --,0,0, --,63.64%,5.45,99.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
4/22/2024,Enabled,UNICEF | MS | DRTV  | Brand | Impr Share, --,USD,50,Daily,Eligible,unknown,Search,30,40.00%,2.83,84.8,40.00%,0,30,75,0,0, --,0,0.00%,0,0.00%,2.83,0,1130.67,0, --, --, --, --, --,0, --, --, --, --, --, --, --, --, --,75,94.67%,96.00%,1,0,3,62,1,1,"Pending: 0
No Ads: 0
Poor: 0
Average: 1
Good: 2
Excellent: 1",0,5,0,9,0,0,0,0,0,0,0,0,75,0,0.00%,0, --,0.00%,0.00%,100.00%, --,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD, --, --, --,0,0,0.00%,0,0,0,0,0,0,0,20322758065,Standard, --,Target Impression Share,100, --, --,Top of results page,100%,13.24, --, --,0.00%,[SIGNUP/WEBSITE],91.46%,87.80%,86.59%,8.54%,12.20%,13.41%,0.00%,0.00%,0.00%,100.00%, --, --, --,97.17%, --,0,0, --,57.69%,4.15,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3/25/2024,Enabled,UNICEF | MS | DRTV  | Brand | Impr Share, --,USD,50,Daily,Eligible,unknown,Search,4,26.67%,1.25,5.01,26.67%,0,4,15,0,0, --,0,0.00%,0,0.00%,1.25,0,334,0, --, --, --, --, --,0, --, --, --, --, --, --, --, --, --,15,100.00%,100.00%,1,0,3,62,1,1,"Pending: 0
No Ads: 0
Poor: 0
Average: 1
Good: 2
Excellent: 1",0,5,0,9,0,0,0,0,0,0,0,0,15,0,0.00%,0, --,0.00%,0.00%,100.00%, --,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD, --, --, --,0,0,0.00%,0,0,0,0,0,0,0,20322758065,Standard, --,Target Impression Share,100, --, --,Top of results page,100%,13.24, --, --,0.00%,[SIGNUP/WEBSITE],68.18%,68.18%,68.18%,31.82%,31.82%,31.82%,0.00%,0.00%,0.00%,87.50%, --, --, --,92.62%, --,0,0, --,16.67%,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
4/8/2024,Enabled,UNICEF | MS | DRTV  | Brand | Impr Share, --,USD,50,Daily,Eligible,unknown,Search,8,25.81%,1.47,11.76,25.81%,0,8,31,0,0, --,0,0.00%,0,0.00%,1.47,0,379.35,0, --, --, --, --, --,0, --, --, --, --, --, --, --, --, --,31,100.00%,100.00%,1,0,3,62,1,1,"Pending: 0
No Ads: 0
Poor: 0
Average: 1
Good: 2
Excellent: 1",0,5,0,9,0,0,0,0,0,0,0,0,31,0,0.00%,0, --,0.00%,0.00%,100.00%, --,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD, --, --, --,0,0,0.00%,0,0,0,0,0,0,0,20322758065,Standard, --,Target Impression Share,100, --, --,Top of results page,100%,13.24, --, --,0.00%,[SIGNUP/WEBSITE],70.73%,70.73%,70.73%,29.27%,29.27%,29.27%,0.00%,0.00%,0.00%,94.74%, --, --, --,87.65%, --,0,0, --,30.00%,3.9,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3/18/2024,Enabled,UNICEF | MS | DRTV  | Brand | Impr Share, --,USD,50,Daily,Eligible,unknown,Search,9,40.91%,1.13,10.21,40.91%,0,9,22,0,0, --,0,0.00%,0,0.00%,1.13,0,464.09,0, --, --, --, --, --,0, --, --, --, --, --, --, --, --, --,22,85.71%,85.71%,1,0,3,62,1,1,"Pending: 0
No Ads: 0
Poor: 0
Average: 1
Good: 2
Excellent: 1",0,5,0,9,0,0,0,0,0,0,0,0,22,0,0.00%,0, --,0.00%,0.00%,100.00%, --,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD, --, --, --,0,0,0.00%,0,0,0,0,0,0,0,20322758065,Standard, --,Target Impression Share,100, --, --,Top of results page,100%,13.24, --, --,0.00%,[SIGNUP/WEBSITE],70.00%,60.00%,60.00%,30.00%,40.00%,40.00%,0.00%,0.00%,0.00%,84.62%, --, --, --,92.26%, --,0,0, --,57.14%,4,21.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2/19/2024,Enabled,UNICEF | MS | DRTV  | Brand | Impr Share, --,USD,50,Daily,Eligible,unknown,Search,5,20.00%,1.01,5.05,20.00%,0,5,25,0,0, --,0,0.00%,0,0.00%,1.01,0,202,0, --, --, --, --, --,0, --, --, --, --, --, --, --, --, --,25,95.65%,95.65%,1,0,3,62,1,1,"Pending: 0
No Ads: 0
Poor: 0
Average: 1
Good: 2
Excellent: 1",0,5,0,9,0,0,0,0,0,0,0,0,25,0,0.00%,0, --,0.00%,0.00%,100.00%, --,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD, --, --, --,0,0,0.00%,0,0,0,0,0,0,0,20322758065,Standard, --,Target Impression Share,100, --, --,Top of results page,100%,13.24, --, --,0.00%,[SIGNUP/WEBSITE],62.16%,59.46%,59.46%,37.84%,40.54%,40.54%,0.00%,0.00%,0.00%,100.00%, --, --, --,89.08%, --,0,0, --,57.14%,5,18.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1/29/2024,Enabled,UNICEF | MS | DRTV  | Brand | Impr Share, --,USD,50,Daily,Eligible,unknown,Search,8,34.78%,1.55,12.41,34.78%,1,8,23,0,0, --,0,0.00%,0,0.00%,1.55,0,539.57,0, --, --, --, --, --,0, --, --, --, --, --, --, --, --, --,23,73.91%,73.91%,1,0,3,62,1,1,"Pending: 0
No Ads: 0
Poor: 0
Average: 1
Good: 2
Excellent: 1",0,5,0,9,Sign-up: 1.00,Sign-up: 14.98,0,0,1,0,0,0,23,0,0.00%,0, --,0.00%,0.00%,100.00%, --,12.42,12.49%,14.98,1.21,1.87,15,0,0,1,14.98,15,2,6.21,24.97%,15.98,1.29,2,8,0,0,2,15.98,8,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD, --, --, --,1,12.42,12.49%,14.98,15,1.87,1.21,1,14.98,15,20322758065,Standard, --,Target Impression Share,100, --, --,Top of results page,100%,13.24, --, --,0.00%,[SIGNUP/WEBSITE],50.00%,36.96%,36.96%,47.83%,60.87%,60.87%,2.17%,2.17%,2.17%,100.00%, --, --, --,78.27%, --,0,0, --,81.82%,6.73,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
4/1/2024,Enabled,UNICEF | MS | DRTV  | Brand | Impr Share, --,USD,50,Daily,Eligible,unknown,Search,10,29.41%,0.5,4.96,29.41%,0,10,34,0,0, --,0,0.00%,0,0.00%,0.5,0,145.88,0, --, --, --, --, --,0, --, --, --, --, --, --, --, --, --,34,87.50%,87.50%,1,0,3,62,1,1,"Pending: 0
No Ads: 0
Poor: 0
Average: 1
Good: 2
Excellent: 1",0,5,0,9,0,0,0,0,0,0,0,0,34,0,0.00%,0, --,0.00%,0.00%,100.00%, --,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD, --, --, --,0,0,0.00%,0,0,0,0,0,0,0,20322758065,Standard, --,Target Impression Share,100, --, --,Top of results page,100%,13.24, --, --,0.00%,[SIGNUP/WEBSITE],65.31%,57.14%,57.14%,34.69%,42.86%,42.86%,0.00%,0.00%,0.00%,71.43%, --, --, --,60.67%, --,0,0, --,42.86%,5.29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3/18/2024,Enabled,UNICEF | MS | DRTV | Demand Gen | Malnutrición, --,USD,26,Daily,Eligible (Limited),most ads limited by policy,Demand Gen,0, --,0,0, --,0,0,0,0,0, --,0, --,0, --,0,0,0,0, --, --, --, --, --,0, --, --, --, --, --, --, --, --, --,0, --, --,1,0,,,0,, --,,7,,0,0,0,0,0,0,0,0,0,0,0, --,0, --, --, --, --, --,0,0.00%,0,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD, --, --, --,0,0, --,0,0,0,0,0,0,0,21029976873,Standard, --,Maximize Conversions,90.77, --, --, --, --, --, --, --,0.89%,[SIGNUP/WEBSITE], --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0, --,0.00%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3/11/2024,Enabled,UNICEF | MS | DRTV | Demand Gen | Malnutrición, --,USD,26,Daily,Eligible (Limited),most ads limited by policy,Demand Gen,0, --,0,0, --,0,0,0,0,0, --,0, --,0, --,0,0,0,0, --, --, --, --, --,0, --, --, --, --, --, --, --, --, --,0, --, --,1,0,,,0,, --,,7,,0,0,0,0,0,0,0,0,0,0,0, --,0, --, --, --, --, --,0,0.00%,0,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD, --, --, --,0,0, --,0,0,0,0,0,0,0,21029976873,Standard, --,Maximize Conversions,90.77, --, --, --, --, --, --, --,0.89%,[SIGNUP/WEBSITE], --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0, --,12.50%,2.44,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
