Week,Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Optimization score,Campaign type,Avg. CPV,Avg. CPM,Interactions,Interaction rate,Avg. cost,Cost,CTR,Engagement rate,Invalid Interaction rate,Avg. target cost per in-app action,Avg. watch time / impr.,Impr. (Top) %,Invalid clicks,Views,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,Avg. target CPA optimization,Avg. target CPA,View rate (In-stream),View rate (In-feed),View rate (Shorts),Impr. (co-viewed),Invalid click rate,All video ad seq. impr.,Engagements,Invalid Interactions,Avg. CPE,Avg. target ROAS optimization,Avg. target ROAS,Watch time,Impr. (Abs. Top) %,Number of disapproved keywords,Number of eligible sitelinks (legacy),Number of eligible images (upgraded),Ad strength details,Number of eligible keywords,Number of disapproved ads,Number of eligible responsive search ads,Number of eligible ads,Number of eligible ad groups,Number of eligible sitelinks (upgraded),Number of eligible images (legacy),Contact,Purchase,Add to cart,Phone call lead,Results value,Outbound click,Results,Download,Submit lead form,Viewable impr.,Measurable cost,Viewable impr. distrib.,Non-viewable impr.,Measurable rate,Non-viewable impr. distrib.,Measurable impr.,Avg. viewable CPM,Non-measurable impr. distrib.,Non-measurable impr.,Viewable CTR,Viewable rate,Value adjustment,Value / conv.,Conv. rate,Conv. value / click,New customer lifetime value,Conversions (by conv. time),Conv. value (by conv. time),Value / conv. (by conv. time),All conv. rate,Value / all conv.,All conv. value,All value adjustment,Cost / all conv.,All conv. value / click,All conv.,All conv. value / cost,All new customer lifetime value,All conv. (by conv. time),All conv. value (by conv. time),Value / all conv. (by conv. time),Units sold,Cost of goods sold,Cross-sell cost of goods sold,Lead cost of goods sold,Cross-device conv. value (by conv. time),Avg. order value,Gross profit margin,Lead gross profit,Cross-sell gross profit,Cross-device conv. (by conv. time),Revenue,Gross profit,Lead units sold,Cross-sell units sold,Cross-device conv. value,Orders,Avg. cart size,Lead revenue,Cross-sell revenue,Cross-device conv.,View-through conv.,New customers,Store visits,Store visit value,Store visit value / Store visit,View-through store visits,Currency code,Est. add. cost/wk (rec. budget),Est. add. interactions/wk (rec. budget),Recommended budget,Conversions (current model),Value / conv. (current model),"Conv. value (current model, by conv. time)",Store visits (data-driven),Cost / conv. (current model),Conv. value / click (current model),"Value / conv. (current model, by conv. time)",Store visits (last click),Conv. rate (current model),Conv. value / cost (current model),Conv. value (current model),"Conversions (current model, by conv. time)",Bid strategy,Target ROAS,Label,Campaign subtype,Target CPA,Max CPC Bid Limit for Target IS,Conversion goals,Target Impression Share,Account optimization headroom,Campaign ID,Location Goal for Target IS,Campaign group,Search impr. share,Search top IS,Search abs. top IS,Search lost IS (rank),Search lost top IS (budget),Search lost IS (budget),Search lost abs. top IS (rank),Search lost top IS (rank),Search lost abs. top IS (budget),Display lost IS (budget),Display impr. share,Relative CTR,Display lost IS (rank),Search exact match IS,Click share,Phone calls,Phone impr.,PTR,Chat rate,Message impr.,Chats,Earned likes,Earned views,Earned playlist additions,Earned shares,Earned subscribers,Keyword changes,Network changes,Bid changes,Ad changes,Budget changes,Targeting changes,All changes,Status changes,Avg. impr. freq. / user,1+,2+,3+,4+,5+,10+,Unique users,Avg. impr. freq. / user (7 days),Avg. impr. freq. / user (30 days),Gmail clicks to website,Gmail saves,Gmail forwards,%LeadCuento,ADC Lead,Donación,Festeja Lead,Paso 0 %,Paso Dona,ROAS LTV Prom,Valor Donaciones x8,$CuentoDona,Dona %,Donar Cuentos,Lead Cuentos,Paso 1,Paso Dona %,VAC Dona,ADC Donar,Dona Valor,Festeja Dona,Paso 0,Paso 1 %,ROAS LTM x8,VAC Lead,Impr.,Bid strategy type,Clicks,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.
2/26/2024,Enabled,conversiones_prospect_drtv_pmax_AO2, --,ARS,53700,Daily,Eligible,unknown,100,Performance Max,3.09,863.67,"11,862",14.03%,6.16,73034.35,1.24%,25.99%,5.94%, --,9.4, --,70,"8,722", --, --, --, --, --,25000,35.23%,0.11%,2.30%,"84,563",6.26%,0,"11,097",749,2.43, --, --,"231,845", --,,,0, --,,0,,0,0,4,,16.23,5,0,3,Phone call lead: 3.00; Purchase: 5.00,0,Contact: 16.23; Phone call lead: 3.00; Purchase: 5.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"84,563", --, --,0,1,0.04%,0,5,5,5,1,0.20%,0.3,10,0,2197.98,0,33.23,0,6,38.95,10,0.26,0,0, --, --,1,0, --, --, --,7,0,0,0,0,1,0,0,0,0,5.64,9,5,0,0,0,0,ARS, --, --, --,5,1,5,0,14606.87,0,1,0,0.04%,0,5,5, --, --, --,Standard,25000, --,[PURCHASE/WEBSITE], --,0.00%,20621697999, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,93.70%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"84,563",Maximize Conversions (Target CPA),"1,048",5,0,5,69.69,14606.87
2/19/2024,Enabled,conversiones_prospect_drtv_pmax_AO2, --,ARS,53700,Daily,Eligible,unknown,100,Performance Max,2.88,1114.58,"12,464",13.37%,8.33,103872.98,1.19%,22.21%,7.20%, --,9.3, --,68,"8,894", --, --, --, --, --,23379.39,33.40%,0.16%,2.59%,"93,195",5.80%,0,"11,765",967,2.18, --, --,"246,375", --,,,0, --,,0,,0,0,4,,9.53,2,0,0,Purchase: 2.00,0,Contact: 9.53; Purchase: 2.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"93,195", --, --,0,1,0.02%,0,2,2,2,1,0.09%,0.12,2,0,6284.92,0,16.53,0,2,18.01,2,0.11,0,0, --, --,0,0, --, --, --,3,0,0,0,0,0,0,0,0,0,3.36,5,2,0,0,0,0,ARS, --, --, --,2,1,2,0,51936.49,0,1,0,0.02%,0,2,2, --, --, --,Standard,25000, --,[PURCHASE/WEBSITE], --,0.00%,20621697999, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,92.55%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"93,195",Maximize Conversions (Target CPA),"1,105",2,0,2,94,51936.49
4/8/2024,Enabled,conversiones_prospect_drtv_pmax_AO2, --,ARS,53700,Daily,Eligible,unknown,100,Performance Max,4,1986.95,"10,856",6.72%,29.58,321080.62,2.52%,28.96%,16.84%, --, --, --,426,"5,417", --, --, --, --, --,25000,38.61%,0.12%,2.31%,"161,595",9.46%,0,"6,922","2,198",3.13, --, --, --, --,,,0, --,,0,,0,0,4,,2.33,13,0,1,Phone call lead: 1.00; Purchase: 13.00,0,Contact: 2.33; Phone call lead: 1.00; Purchase: 13.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"161,595", --, --,0,1,0.12%,0,13,12.03,12.03,1,0.15%,0.82,15,0,17513.49,0,18.33,0,14,17.37,13.03,0.75,0,0, --, --,0,0, --, --, --,2,0,0,0,0,1,0,0,0,0,3,2,13,0,0,0,0,ARS, --, --, --,13,1,12.03,0,24698.51,0,1,0,0.12%,0,13,12.03, --, --, --,Standard,25000, --,[PURCHASE/WEBSITE], --,0.00%,20621697999, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,63.42%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"161,595",Maximize Conversions (Target CPA),"4,075",13,0,13,78.79,24698.51
4/8/2024,Enabled,conversiones_prospect_cuentosquecuidan_searchbrand_AO, --,ARS,3868,Daily,Eligible (Limited),some ads disapproved,99.81,Search,0,4259.39,648,10.51%,40.54,26271.94,10.51%, --,2.99%, --, --,84.38%,20,0, --, --, --, --, --, --, --, --, --,"6,168",2.99%,0,0,20,0, --, --, --,82.86%,13,0,3,"Pending: 1
No Ads: 0
Poor: 0
Average: 0
Good: 0
Excellent: 1",6,1,1,1,1,3,0,128,31,0,0,Purchase: 31.00,0,Contact: 128.00; Purchase: 31.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"6,168", --, --,0,0,19.75%,0,0,114,0,0,24.54%,0.19,31,0,165.23,0.05,159,0,0,115,1,0.01,0,0, --, --,0,0, --, --, --,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,ARS, --, --, --,128,0,0,0,205.25,0,0,0,19.75%,0,0,114, --, --, --,Standard, --, --,[CONTACT/WEBSITE], --,0.01%,19846094094, --, --,86.24%,72.93%,71.62%,1.60%,22.17%,12.16%,6.21%,4.90%,22.17%, --, --, --, --,97.92%,79.90%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,168",Maximize Conversions,648,0,0,128,40.54,205.25
3/4/2024,Enabled,conversiones_prospect_cuentosquecuidan_searchbrand_AO, --,ARS,3868,Daily,Eligible (Limited),some ads disapproved,99.81,Search,0,2389.8,543,9.71%,24.61,13361.35,9.71%, --,2.16%, --, --,68.59%,12,0, --, --, --, --, --, --, --, --, --,"5,591",2.16%,0,0,12,0, --, --, --,60.82%,13,0,3,"Pending: 1
No Ads: 0
Poor: 0
Average: 0
Good: 0
Excellent: 1",6,1,1,1,1,3,0,100,1,0,0,Purchase: 1.00,0,Contact: 100.00; Purchase: 1.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"5,591", --, --,0,0,18.42%,0,0,104,0,0,18.60%,0.01,1,0,132.29,0,101,0,0,106,2,0.02,0,0, --, --,2,0, --, --, --,6,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,ARS, --, --, --,100,0,0,0,133.62,0,0,0,18.42%,0,0,104, --, --, --,Standard, --, --,[CONTACT/WEBSITE], --,0.01%,19846094094, --, --,59.50%,41.08%,36.43%,22.38%,19.08%,18.12%,44.49%,39.85%,19.08%, --, --, --, --,88.06%,47.75%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,591",Maximize Conversions,543,0,0,100,24.61,133.62
2/5/2024,Enabled,conversiones_prospect_cuentosquecuidan_searchbrand_AO, --,ARS,3868,Daily,Eligible (Limited),some ads disapproved,99.81,Search,0,7776.34,183,16.80%,46.28,8468.43,16.80%, --,1.08%, --, --,95.63%,2,0, --, --, --, --, --, --, --, --, --,"1,089",1.08%,0,0,2,0, --, --, --,94.78%,13,0,3,"Pending: 1
No Ads: 0
Poor: 0
Average: 0
Good: 0
Excellent: 1",6,1,1,1,1,3,0,56,1,0,0,Purchase: 1.00,0,Contact: 56.00; Purchase: 1.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"1,089", --, --,0,0,30.60%,0,0,58,0,0,31.69%,0.02,1,0,146.02,0.01,58,0,0,60,1,0.02,0,0, --, --,0,0, --, --, --,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARS, --, --, --,56,0,0,0,151.23,0,0,0,30.60%,0,0,58, --, --, --,Standard, --, --,[CONTACT/WEBSITE], --,0.01%,19846094094, --, --,75.66%,73.25%,72.59%,0.16%,26.10%,24.17%,1.31%,0.65%,26.10%, --, --, --, --,81.65%,77.12%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,089",Maximize Conversions,183,0,0,56,46.28,151.23
4/29/2024,Enabled,conversiones_prospect_cuentosquecuidan_searchbrand_AO, --,ARS,3868,Daily,Eligible (Limited),some ads disapproved,99.81,Search,0,3246.91,133,9.22%,35.2,4682.05,9.22%, --,1.48%, --, --,86.01%,2,0, --, --, --, --, --, --, --, --, --,"1,442",1.48%,0,0,2,0, --, --, --,81.75%,13,0,3,"Pending: 1
No Ads: 0
Poor: 0
Average: 0
Good: 0
Excellent: 1",6,1,1,1,1,3,0,22,0,0,0,0,0,Contact: 22.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"1,442", --, --,0,0,16.54%,0,0,31,0,0,16.54%,0,0,0,212.82,0,22,0,0,32,1,0.03,0,0, --, --,0,0, --, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARS, --, --, --,22,0,0,0,212.82,0,0,0,16.54%,0,0,31, --, --, --,Standard, --, --,[CONTACT/WEBSITE], --,0.01%,19846094094, --, --,89.09%,78.67%,74.10%,3.73%,11.50%,7.18%,14.40%,9.83%,11.50%, --, --, --, --,92.31%, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,442",Maximize Conversions,133,0,0,22,35.2,212.82
4/22/2024,Enabled,conversiones_prospect_cuentosquecuidan_searchbrand_AO, --,ARS,3868,Daily,Eligible (Limited),some ads disapproved,99.81,Search,0,2781.44,787,11.42%,24.35,19166.9,11.42%, --,3.08%, --, --,81.45%,25,0, --, --, --, --, --, --, --, --, --,"6,891",3.08%,0,0,25,0, --, --, --,78.00%,13,0,3,"Pending: 1
No Ads: 0
Poor: 0
Average: 0
Good: 0
Excellent: 1",6,1,1,1,1,3,0,162,1,0,0,Purchase: 1.00,0,Contact: 162.00; Purchase: 1.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"6,891", --, --,0,0,20.58%,0,0,165,0,0,20.71%,0.01,1,0,117.59,0,163,0,0,181,16,0.09,0,0, --, --,0,0, --, --, --,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ARS, --, --, --,162,0,0,0,118.31,0,0,0,20.58%,0,0,165, --, --, --,Standard, --, --,[CONTACT/WEBSITE], --,0.01%,19846094094, --, --,78.30%,63.68%,60.99%,8.33%,19.30%,13.37%,19.71%,17.02%,19.30%, --, --, --, --,97.67%,70.60%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,891",Maximize Conversions,787,0,0,162,24.35,118.31
3/18/2024,Enabled,conversiones_prospect_cuentosquecuidan_searchbrand_AO, --,ARS,3868,Daily,Eligible (Limited),some ads disapproved,99.81,Search,0,1694.35,588,10.37%,16.33,9603.58,10.37%, --,2.33%, --, --,64.70%,14,0, --, --, --, --, --, --, --, --, --,"5,668",2.33%,0,0,14,0, --, --, --,57.95%,13,0,3,"Pending: 1
No Ads: 0
Poor: 0
Average: 0
Good: 0
Excellent: 1",6,1,1,1,1,3,0,127.98,0,0,0,0,0,Contact: 127.98,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"5,668", --, --,0,0,21.76%,0,0,127.98,0,0,21.76%,0,0,0,75.04,0,127.98,0,0,127.98,0,0,0,0, --, --,0,0, --, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARS, --, --, --,127.98,0,0,0,75.04,0,0,0,21.76%,0,0,127.98, --, --, --,Standard, --, --,[CONTACT/WEBSITE], --,0.01%,19846094094, --, --,44.62%,29.20%,26.15%,34.99%,21.13%,20.39%,52.72%,49.67%,21.13%, --, --, --, --,95.10%,35.31%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,668",Maximize Conversions,588,0,0,127.98,16.33,75.04
1/29/2024,Enabled,conversiones_prospect_cuentosquecuidan_searchbrand_AO, --,ARS,3868,Daily,Eligible (Limited),some ads disapproved,99.81,Search,0,5155.87,95,14.98%,34.41,3268.82,14.98%, --,1.04%, --, --,97.69%,1,0, --, --, --, --, --, --, --, --, --,634,1.04%,0,0,1,0, --, --, --,97.50%,13,0,3,"Pending: 1
No Ads: 0
Poor: 0
Average: 0
Good: 0
Excellent: 1",6,1,1,1,1,3,0,21.99,1,0,0,Purchase: 1.00,0,Contact: 21.99; Purchase: 1.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,634, --, --,0,0,23.15%,0,0,21.99,0,0,24.20%,0.04,1,0,142.17,0.01,22.99,0,0,21.99,0,0,0,0, --, --,0,0, --, --, --,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,ARS, --, --, --,21.99,0,0,0,148.63,0,0,0,23.15%,0,0,21.99, --, --, --,Standard, --, --,[CONTACT/WEBSITE], --,0.01%,19846094094, --, --,99.81%,98.64%,98.44%,0.19%,0.00%,0.00%,1.56%,1.36%,0.00%, --, --, --, --,100.00%,98.01%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,Maximize Conversions,95,0,0,21.99,34.41,148.63
4/15/2024,Enabled,conversiones_prospect_cuentosquecuidan_searchbrand_AO, --,ARS,3868,Daily,Eligible (Limited),some ads disapproved,99.81,Search,0,3308.31,750,11.20%,29.53,22149.15,11.20%, --,2.47%, --, --,79.73%,19,0, --, --, --, --, --, --, --, --, --,"6,695",2.47%,0,0,19,0, --, --, --,76.85%,13,0,3,"Pending: 1
No Ads: 0
Poor: 0
Average: 0
Good: 0
Excellent: 1",6,1,1,1,1,3,0,130.92,0,0,0,0,0,Contact: 130.92,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"6,695", --, --,0,0,17.46%,0,0,133.92,0,0,17.46%,0,0,0,169.19,0,130.92,0,0,147.92,14,0.09,0,0, --, --,0,0, --, --, --,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARS, --, --, --,130.92,0,0,0,169.19,0,0,0,17.46%,0,0,133.92, --, --, --,Standard, --, --,[CONTACT/WEBSITE], --,0.01%,19846094094, --, --,82.18%,65.34%,62.99%,4.29%,21.10%,13.53%,15.92%,13.56%,21.10%, --, --, --, --,98.85%,75.42%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,695",Maximize Conversions,750,0,0,130.92,29.53,169.19
3/11/2024,Enabled,conversiones_prospect_cuentosquecuidan_searchbrand_AO, --,ARS,3868,Daily,Eligible (Limited),some ads disapproved,99.81,Search,0,2038.01,538,9.93%,20.53,11043.98,9.93%, --,2.18%, --, --,63.59%,12,0, --, --, --, --, --, --, --, --, --,"5,419",2.18%,0,0,12,0, --, --, --,56.05%,13,0,3,"Pending: 1
No Ads: 0
Poor: 0
Average: 0
Good: 0
Excellent: 1",6,1,1,1,1,3,0,115.26,0,0,0,0,0,Contact: 115.26,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"5,419", --, --,0,0,21.42%,0,0,116.26,0,0,21.42%,0,0,0,95.82,0,115.26,0,0,116.26,0,0,0,0, --, --,0,0, --, --, --,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ARS, --, --, --,115.26,0,0,0,95.82,0,0,0,21.42%,0,0,116.26, --, --, --,Standard, --, --,[CONTACT/WEBSITE], --,0.01%,19846094094, --, --,46.38%,29.79%,26.26%,40.22%,13.92%,13.40%,59.82%,56.28%,13.92%, --, --, --, --,98.55%,36.79%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,419",Maximize Conversions,538,0,0,115.26,20.53,95.82
2/26/2024,Enabled,conversiones_prospect_cuentosquecuidan_searchbrand_AO, --,ARS,3868,Daily,Eligible (Limited),some ads disapproved,99.81,Search,0,2256.76,680,14.59%,15.47,10516.51,14.59%, --,4.36%, --, --,70.83%,31,0, --, --, --, --, --, --, --, --, --,"4,660",4.36%,0,0,31,0, --, --, --,65.06%,13,0,3,"Pending: 1
No Ads: 0
Poor: 0
Average: 0
Good: 0
Excellent: 1",6,1,1,1,1,3,0,135.21,1,0,0,Purchase: 1.00,0,Contact: 135.21; Purchase: 1.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"4,660", --, --,0,0,19.88%,0,0,129.21,0,0,20.03%,0.01,1,0,77.21,0,136.21,0,0,129.21,0,0,0,0, --, --,0,0, --, --, --,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,ARS, --, --, --,135.21,0,0,0,77.78,0,0,0,19.88%,0,0,129.21, --, --, --,Standard, --, --,[CONTACT/WEBSITE], --,0.01%,19846094094, --, --,66.42%,47.13%,43.29%,15.08%,24.12%,18.50%,32.59%,28.75%,24.12%, --, --, --, --,97.97%,56.09%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,660",Maximize Conversions,680,0,0,135.21,15.47,77.78
2/12/2024,Enabled,conversiones_prospect_cuentosquecuidan_searchbrand_AO, --,ARS,3868,Daily,Eligible (Limited),some ads disapproved,99.81,Search,0,4086.67,306,15.53%,26.31,8050.74,15.53%, --,3.16%, --, --,91.57%,10,0, --, --, --, --, --, --, --, --, --,"1,970",3.16%,0,0,10,0, --, --, --,89.35%,13,0,3,"Pending: 1
No Ads: 0
Poor: 0
Average: 0
Good: 0
Excellent: 1",6,1,1,1,1,3,0,96,1,0,0,Purchase: 1.00,0,Contact: 96.00; Purchase: 1.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"1,970", --, --,0,0,31.37%,0,0,94,0,0,32.03%,0.01,1,0,82.15,0,98,0,0,96,1,0.01,0,0, --, --,1,0, --, --, --,3,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,ARS, --, --, --,96,0,0,0,83.86,0,0,0,31.37%,0,0,94, --, --, --,Standard, --, --,[CONTACT/WEBSITE], --,0.01%,19846094094, --, --,82.17%,75.88%,74.04%,0.00%,23.97%,17.83%,1.98%,0.14%,23.97%, --, --, --, --,95.29%,73.87%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,970",Maximize Conversions,306,0,0,96,26.31,83.86
4/1/2024,Enabled,conversiones_prospect_cuentosquecuidan_searchbrand_AO, --,ARS,3868,Daily,Eligible (Limited),some ads disapproved,99.81,Search,0,2832.12,610,10.54%,26.87,16389.49,10.54%, --,4.24%, --, --,80.94%,27,0, --, --, --, --, --, --, --, --, --,"5,787",4.24%,0,0,27,0, --, --, --,78.19%,13,0,3,"Pending: 1
No Ads: 0
Poor: 0
Average: 0
Good: 0
Excellent: 1",6,1,1,1,1,3,0,109.06,0,0,0,0,0,Contact: 109.06,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"5,787", --, --,0,0,17.88%,0,0,109.06,0,0,17.88%,0,0,0,150.28,0,109.06,0,0,109.06,0,0,0,0, --, --,0,0, --, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARS, --, --, --,109.06,0,0,0,150.28,0,0,0,17.88%,0,0,109.06, --, --, --,Standard, --, --,[CONTACT/WEBSITE], --,0.01%,19846094094, --, --,76.44%,61.70%,59.61%,6.17%,22.30%,17.40%,18.09%,16.00%,22.30%, --, --, --, --,98.66%,73.35%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,787",Maximize Conversions,610,0,0,109.06,26.87,150.28
2/19/2024,Enabled,conversiones_prospect_cuentosquecuidan_searchbrand_AO, --,ARS,3868,Daily,Eligible (Limited),some ads disapproved,99.81,Search,0,2961.33,514,14.78%,20.04,10299.49,14.78%, --,5.17%, --, --,79.83%,28,0, --, --, --, --, --, --, --, --, --,"3,478",5.17%,0,0,28,0, --, --, --,75.83%,13,0,3,"Pending: 1
No Ads: 0
Poor: 0
Average: 0
Good: 0
Excellent: 1",6,1,1,1,1,3,0,109.28,1,0,0,Purchase: 1.00,0,Contact: 109.28; Purchase: 1.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"3,478", --, --,0,0,21.26%,0,0,108.28,0,0,21.45%,0.01,1,0,93.4,0,110.28,0,0,110.28,2,0.02,0,0, --, --,1,0, --, --, --,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,ARS, --, --, --,109.28,0,0,0,94.25,0,0,0,21.26%,0,0,108.28, --, --, --,Standard, --, --,[CONTACT/WEBSITE], --,0.01%,19846094094, --, --,67.89%,54.73%,51.98%,1.07%,42.59%,31.04%,5.42%,2.68%,42.59%, --, --, --, --,97.01%,55.15%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,478",Maximize Conversions,514,0,0,109.28,20.04,94.25
4/8/2024,Enabled,leads_legados_testamento_search_AO, --,ARS,5383,Daily,Eligible,unknown,100,Search,0,4952.21,235,2.47%,200.64,47149.96,2.47%, --,2.89%, --, --,88.60%,7,0, --, --, --, --, --,16000, --, --, --,"9,521",2.89%,0,0,7,0, --, --, --,66.19%,10,0,8,"Pending: 3
No Ads: 0
Poor: 0
Average: 0
Good: 1
Excellent: 6",12,0,5,5,3,4,0,1,0,0,2,Phone call lead: 2.00; Submit lead form: 4.00,0,Contact: 1.00; Phone call lead: 2.00; Submit lead form: 4.00,0,4,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"9,521", --, --,0,1,1.70%,0.02,0,4,4,1,6.27%,0.41,6,0,3200.93,0.03,14.73,0,0,14.73,6,0.41,0,0, --, --,0,0, --, --, --,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ARS, --, --, --,4,1,4,0,11787.49,0.02,1,0,1.70%,0,4,4, --, --, --,Standard,16000, --,[SUBMIT_LEAD_FORM/WEBSITE], --,0.00%,10429591668, --, --,64.50%,57.29%,42.80%,35.46%,0.04%,0.04%,57.17%,42.67%,0.04%, --, --, --, --,54.27%,74.79%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,521",Maximize Conversions (Target CPA),235,4,0,4,200.64,11787.49
